drwxrwxrwx   - yarn   hadoop          0 2015-10-20 13:26 /app-logs
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:47 /app-logs/ambari-qa/logs/application_1445411028192_0022
-rw-r-----   2 ambari-qa hadoop       6458 2015-10-21 00:47 /app-logs/ambari-qa/logs/application_1445411028192_0022/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:48 /app-logs/ambari-qa/logs/application_1445411028192_0023
-rw-r-----   2 ambari-qa hadoop      15081 2015-10-21 00:48 /app-logs/ambari-qa/logs/application_1445411028192_0023/mure04.cloud.hortonworks.com_45454
drwxr-xr-x   - hdfs      hdfs            0 2015-10-21 11:06 /apps
drwxr-xr-x   - hdfs      hdfs            0 2015-10-21 11:06 /apps/hbase
drwx------   - hbase     hdfs            0 2015-10-21 14:32 /apps/hbase/data
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:32 /apps/hbase/data/.tmp
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:32 /apps/hbase/data/.tmp/data
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/.tmp/data/default
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:32 /apps/hbase/data/.tmp/data/hbase
drwx------   - hbase     hdfs            0 2015-10-24 05:32 /apps/hbase/data/MasterProcWALs
-rw-r--r--   2 hbase     hdfs       196964 2015-10-21 15:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000002.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-21 16:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000003.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-21 17:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000004.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-21 18:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000005.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-21 19:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000006.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-21 20:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000007.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-21 21:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000008.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-21 22:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000009.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-21 23:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000010.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 00:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000011.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 01:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000012.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 02:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000013.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 03:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000014.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 04:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000015.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 05:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000016.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 06:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000017.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 07:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000018.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 08:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000019.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 09:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000020.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 10:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000021.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 11:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000022.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 12:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000023.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 13:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000024.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 14:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000025.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 15:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000026.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 16:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000027.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 17:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000028.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 18:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000029.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 19:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000030.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 20:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000031.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 21:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000032.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 22:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000033.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-22 23:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000034.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 00:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000035.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 01:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000036.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 02:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000037.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 03:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000038.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 04:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000039.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 05:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000040.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 06:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000041.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 07:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000042.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 08:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000043.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 09:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000044.log
